Date;Open;High;Low;Close;Price;Volume;Dividends;Stock Splits;;
17/09/2014;465.864.013.671.875,00;46.817.401.123.046.800,00;4.524.219.970.703.120,00;4.573.340.148.925.780,00;4107476135253900,00;21056800;0.0;0.0;;
18/09/2014;4.568.599.853.515.620,00;4.568.599.853.515.620,00;41.310.400.390.625,00;42.444.000.244.140.600,00;37875400390625000,00;34483200;0.0;0.0;;
19/09/2014;4.241.029.968.261.710,00;4.278.349.914.550.780,00;3.845.320.129.394.530,00;3.947.959.899.902.340,00;-293070068359370,00;37919700;0.0;0.0;;
20/09/2014;3.946.730.041.503.900,00;4.232.959.899.902.340,00;38.988.299.560.546.800,00;40.890.399.169.921.800,00;36943669128417900,00;36863600;0.0;0.0;;
21/09/2014;4.080.849.914.550.780,00;4.124.259.948.730.460,00;3.931.809.997.558.590,00;3.988.210.144.042.960,00;-92639770507820,00;26580100;0.0;0.0;;
22/09/2014;3.991.000.061.035.150,00;4.069.159.851.074.210,00;3.971.300.048.828.120,00;4.021.520.080.566.400,00;30520019531250,00;24127600;0.0;0.0;;
23/09/2014;4.020.920.104.980.460,00;4.415.570.068.359.370,00;3.961.969.909.667.960,00;4.357.909.851.074.210,00;336989746093750,00;45099500;0.0;0.0;;
24/09/2014;4.357.510.070.800.780,00;43.611.199.951.171.800,00;4.211.319.885.253.900,00;4.232.049.865.722.650,00;-125460205078130,00;30627700;0.0;0.0;;
25/09/2014;423.156.005.859.375,00;4.235.199.890.136.710,00;4.094.679.870.605.460,00;4.115.740.051.269.530,00;3692584045410150,00;26814400;0.0;0.0;;
26/09/2014;4.114.289.855.957.030,00;41.493.798.828.125,00;4.000.090.026.855.460,00;40.442.498.779.296.800,00;36328208923339800,00;21460800;0.0;0.0;;
27/09/2014;4.035.559.997.558.590,00;40.662.298.583.984.300,00;39.737.200.927.734.300,00;3.995.199.890.136.710,00;-40360107421880,00;15029300;0.0;0.0;;
28/09/2014;39.947.100.830.078.100,00;4.010.169.982.910.150,00;3.743.320.007.324.210,00;3.771.809.997.558.590,00;-36175290832519500,00;23613300;0.0;0.0;;
29/09/2014;3.769.280.090.332.030,00;38.521.099.853.515.600,00;372.239.990.234.375,00;3.754.670.104.980.460,00;-14609985351570,00;32497700;0.0;0.0;;
30/09/2014;3.760.880.126.953.120,00;39.097.698.974.609.300,00;3.734.429.931.640.620,00;3.869.440.002.441.400,00;108559875488280,00;34707300;0.0;0.0;;
01/10/2014;387.427.001.953.125,00;3.913.789.978.027.340,00;3.807.799.987.792.960,00;383.614.990.234.375,00;-3812011718750,00;26229400;0.0;0.0;;
02/10/2014;3.839.880.065.917.960,00;38.549.700.927.734.300,00;3.729.460.144.042.960,00;3.750.719.909.667.960,00;-89160156250000,00;21777700;0.0;0.0;;
03/10/2014;3.751.809.997.558.590,00;37.769.500.732.421.800,00;3.578.590.087.890.620,00;3.595.119.934.082.030,00;-156690063476560,00;30901200;0.0;0.0;;
04/10/2014;3.598.919.982.910.150,00;36.448.699.951.171.800,00;325.885.986.328.125,00;3.288.659.973.144.530,00;-310260009765620,00;47236500;0.0;0.0;;
05/10/2014;3.289.159.851.074.210,00;3.418.009.948.730.460,00;2.892.959.899.902.340,00;320.510.009.765.625,00;-2968649841308580,00;83308096;0.0;0.0;;
06/10/2014;3.203.890.075.683.590,00;3.451.340.026.855.460,00;30.255.999.755.859.300,00;3.300.790.100.097.650,00;96900024414060,00;79011800;0.0;0.0;;
07/10/2014;3.305.840.148.925.780,00;33.924.700.927.734.300,00;32.048.199.462.890.600,00;33.618.701.171.875,00;-3272221447753900,00;49199900;0.0;0.0;;
08/10/2014;3.361.159.973.144.530,00;354.364.013.671.875,00;32.718.798.828.125,00;35.294.000.244.140.600,00;31932840270996100,00;54736300;0.0;0.0;;
09/10/2014;35.274.798.583.984.300,00;38.272.601.318.359.300,00;34.768.701.171.875,00;3.650.260.009.765.620,00;-31624538574218700,00;83641104;0.0;0.0;;
10/10/2014;36.468.701.171.875,00;3.750.669.860.839.840,00;3.529.630.126.953.120,00;36.156.201.171.875,00;-312500000000,00;43665700;0.0;0.0;;
11/10/2014;36.136.199.951.171.800,00;3.671.910.095.214.840,00;35.595.098.876.953.100,00;36.229.901.123.046.800,00;93701171875000,00;13345200;0.0;0.0;;
12/10/2014;3.626.059.875.488.280,00;3.794.330.139.160.150,00;3.561.440.124.511.710,00;37.854.901.123.046.800,00;34228841247558500,00;17552800;0.0;0.0;;
13/10/2014;3.779.209.899.902.340,00;39.722.601.318.359.300,00;3.688.970.031.738.280,00;39.041.400.146.484.300,00;35262190246582000,00;35221400;0.0;0.0;;
14/10/2014;3.916.919.860.839.840,00;411.697.998.046.875,00;3.913.240.051.269.530,00;4.008.699.951.171.870,00;91780090332030,00;38491500;0.0;0.0;;
15/10/2014;4.009.549.865.722.650,00;40.222.698.974.609.300,00;3.887.659.912.109.370,00;39.477.301.025.390.600,00;35467751159668000,00;25267100;0.0;0.0;;
16/10/2014;39.451.800.537.109.300,00;3.988.070.068.359.370,00;37.307.000.732.421.800,00;3.825.559.997.558.590,00;-35626240539550700,00;26990000;0.0;0.0;;
17/10/2014;3.827.560.119.628.900,00;3.854.779.968.261.710,00;3.753.890.075.683.590,00;38.375.799.560.546.800,00;34548239440917900,00;13600700;0.0;0.0;;
18/10/2014;38.397.601.318.359.300,00;3.951.579.895.019.530,00;37.897.100.830.078.100,00;3.914.419.860.839.840,00;-34483181457519500,00;11416800;0.0;0.0;;
19/10/2014;3.912.539.978.027.340,00;3.939.389.953.613.280,00;3.864.570.007.324.210,00;3.895.459.899.902.340,00;-17080078125000,00;5914570;0.0;0.0;;
20/10/2014;3.892.309.875.488.280,00;3.900.840.148.925.780,00;37.825.201.416.015.600,00;3.828.450.012.207.030,00;-63859863281250,00;16419000;0.0;0.0;;
21/10/2014;3.824.209.899.902.340,00;39.264.599.609.375,00;3.808.340.148.925.780,00;3.864.750.061.035.150,00;40540161132810,00;14188900;0.0;0.0;;
22/10/2014;3.861.180.114.746.090,00;38.857.598.876.953.100,00;3.822.489.929.199.210,00;3.831.579.895.019.530,00;-29600219726560,00;11641300;0.0;0.0;;
23/10/2014;3.829.620.056.152.340,00;3.850.480.041.503.900,00;3.564.469.909.667.960,00;3.584.169.921.875,00;-3826035886230460,00;26456900;0.0;0.0;;
24/10/2014;35.859.100.341.796.800,00;3.643.450.012.207.030,00;35.330.499.267.578.100,00;3.583.450.012.207.030,00;-32275650329589800,00;15585700;0.0;0.0;;
25/10/2014;3.586.109.924.316.400,00;3.598.609.924.316.400,00;34.287.701.416.015.600,00;34.727.099.609.375,00;-3551382824707020,00;18127500;0.0;0.0;;
26/10/2014;34.748.699.951.171.800,00;35.922.100.830.078.100,00;3.439.309.997.558.590,00;3.547.040.100.097.650,00;-31201659851074200,00;11272500;0.0;0.0;;
27/10/2014;3.547.770.080.566.400,00;3.586.319.885.253.900,00;3.498.089.904.785.150,00;352.989.013.671.875,00;-3194781066894520,00;13033000;0.0;0.0;;
28/10/2014;3.532.149.963.378.900,00;3.599.840.087.890.620,00;3.526.789.855.957.030,00;3.576.180.114.746.090,00;44030151367190,00;7845880;0.0;0.0;;
29/10/2014;3.570.889.892.578.120,00;3.578.330.078.125,00;3.353.429.870.605.460,00;33.559.100.341.796.800,00;29988210449218700,00;18192700;0.0;0.0;;
30/10/2014;3.357.090.148.925.780,00;3.509.129.943.847.650,00;3.350.719.909.667.960,00;34.530.499.267.578.100,00;31173409118652300,00;30177900;0.0;0.0;;
31/10/2014;3.450.090.026.855.460,00;3.480.450.134.277.340,00;3.371.419.982.910.150,00;3.383.210.144.042.960,00;-66879882812500,00;12545400;0.0;0.0;;
01/11/2014;3.386.499.938.964.840,00;34.052.899.169.921.800,00;32.105.499.267.578.100,00;3.257.489.929.199.210,00;-129010009765630,00;16677200;0.0;0.0;;
02/11/2014;32.607.501.220.703.100,00;32.904.998.779.296.800,00;3.206.260.070.800.780,00;3.258.919.982.910.150,00;-29348581237793000,00;8603620;0.0;0.0;;
